=== STDOUT ===
Parseo exitoso
SequentialFile scanAll
id	dni	nombre	edad	genero	altura	
----------------------------------------
1	10000000	Fernando	30	M	1.560000	
2	10000001	Lidia	24	F	1.660000	
3	10000002	Claudia	50	F	1.630000	
4	10000003	Victor	33	M	1.600000	
5	10000004	Teresa	18	F	1.770000	
6	10000005	Melissa	46	F	1.740000	
7	10000006	Diana	33	F	1.770000	
8	10000007	Luis	27	M	1.780000	
9	10000008	Stefany	46	F	1.600000	
10	10000009	Silvia	49	F	1.560000	
11	10000010	Luisa	19	F	1.700000	
12	10000011	Edgar	30	M	1.790000	
13	10000012	Rosa	29	F	1.810000	
14	10000013	Melany	24	F	1.650000	
15	10000014	Pedro	35	M	1.840000	
16	10000015	Claudia	43	F	1.680000	
17	10000016	Irene	38	F	1.660000	
18	10000017	Andres	36	M	1.700000	
19	10000018	Melissa	21	F	1.580000	
20	10000019	Arturo	48	M	1.700000	
21	10000020	Daniel	34	M	1.710000	
22	10000021	Arturo	26	M	1.720000	
23	10000022	Noelia	45	F	1.620000	
24	10000023	Camila	37	F	1.750000	
25	10000024	Felipe	45	M	1.680000	
26	10000025	Beatriz	27	F	1.830000	
27	10000026	Cesar	49	M	1.660000	
28	10000027	Valeria	30	F	1.820000	
29	10000028	Nicolas	42	M	1.820000	
30	10000029	Kevin	20	M	1.830000	
31	10000030	Patricia	43	F	1.610000	
32	10000031	Paola	25	F	1.750000	
33	10000032	Guillermo	50	M	1.620000	
34	10000033	Sandra	19	F	1.610000	
35	10000034	Axel	35	M	1.560000	
36	10000035	Melissa	38	F	1.820000	
37	10000036	Claudia	43	F	1.810000	
38	10000037	Diana	18	F	1.620000	
39	10000038	Maria	48	F	1.560000	
40	10000039	Bruno	43	M	1.670000	
41	10000040	Julio	36	M	1.690000	
42	10000041	Adriana	43	F	1.590000	
43	10000042	Alvaro	40	M	1.590000	
44	10000043	Renato	20	M	1.730000	
45	10000044	Victor	49	M	1.590000	
46	10000045	Camila	28	F	1.760000	
47	10000046	Cecilia	26	F	1.670000	
48	10000047	Julia	40	F	1.560000	
49	10000048	Veronica	40	F	1.830000	
50	10000049	Cesar	26	M	1.750000	
51	10000050	Monica	46	F	1.750000	
52	10000051	Paula	22	F	1.720000	
53	10000052	Alfredo	26	M	1.640000	
54	10000053	Edgar	38	M	1.720000	
55	10000054	Daniela	19	F	1.720000	
56	10000055	Noelia	46	F	1.840000	
57	10000056	Esteban	19	M	1.710000	
58	10000057	Andrea	36	F	1.580000	
59	10000058	Rosa	29	F	1.620000	
60	10000059	Marco	20	M	1.660000	
61	10000060	Paola	44	F	1.630000	
62	10000061	Javier	18	M	1.730000	
63	10000062	Victor	33	M	1.630000	
64	10000063	Noelia	25	F	1.740000	
65	10000064	Sofia	41	F	1.660000	
66	10000065	Carla	25	F	1.630000	
67	10000066	Luis	44	M	1.630000	
68	10000067	Adriana	36	F	1.800000	
69	10000068	Manuel	39	M	1.690000	
70	10000069	Jose	27	M	1.640000	
71	10000070	Rocio	31	F	1.680000	
72	10000071	Irene	42	F	1.580000	
73	10000072	Andrea	21	F	1.820000	
74	10000073	Hugo	36	M	1.800000	
75	10000074	Melany	30	F	1.620000	
76	10000075	Tomas	44	M	1.720000	
77	10000076	Paula	25	F	1.720000	
78	10000077	Claudia	46	F	1.550000	
79	10000078	Sandra	49	F	1.690000	
80	10000079	Victor	20	M	1.790000	
81	10000080	Fabiana	23	F	1.570000	
82	10000081	Ana	49	F	1.710000	
83	10000082	Carla	33	F	1.720000	
84	10000083	Sofia	26	F	1.580000	
85	10000084	Andres	50	M	1.720000	
86	10000085	Carla	39	F	1.850000	
87	10000086	Melany	29	F	1.670000	
88	10000087	Luis	49	M	1.660000	
89	10000088	Gloria	23	F	1.680000	
90	10000089	Sandra	25	F	1.710000	
91	10000090	Andres	20	M	1.660000	
92	10000091	Alonso	32	M	1.750000	
93	10000092	Vanessa	40	F	1.630000	
94	10000093	Diego	18	M	1.590000	
95	10000094	Cecilia	47	F	1.800000	
96	10000095	Arturo	32	M	1.770000	
97	10000096	Valeria	49	F	1.610000	
98	10000097	Beatriz	18	F	1.590000	
99	10000098	Jessica	39	F	1.690000	
100	10000099	Edgar	20	M	1.670000	
101	10000100	Daniel	26	M	1.720000	
102	10000101	Enrique	47	M	1.740000	
103	10000102	Edgar	39	M	1.630000	
104	10000103	Stefany	21	F	1.690000	
105	10000104	Ricardo	33	M	1.610000	
106	10000105	Beatriz	27	F	1.750000	
107	10000106	Oscar	23	M	1.640000	
108	10000107	Mariana	48	F	1.800000	
109	10000108	Irene	32	F	1.710000	
110	10000109	Luis	35	M	1.790000	
111	10000110	Melany	50	F	1.560000	
112	10000111	Carolina	39	F	1.610000	
113	10000112	Adriana	39	F	1.690000	
114	10000113	Joel	35	M	1.780000	
115	10000114	Javier	49	M	1.700000	
116	10000115	Mariana	42	F	1.560000	
117	10000116	Fabiana	18	F	1.730000	
118	10000117	Maria	29	F	1.580000	
119	10000118	Nicolas	47	M	1.590000	
120	10000119	Axel	46	M	1.660000	
121	10000120	Sofia	31	F	1.820000	
122	10000121	Andrea	23	F	1.570000	
123	10000122	Martin	33	M	1.760000	
124	10000123	Enrique	45	M	1.730000	
125	10000124	Jose	44	M	1.590000	
126	10000125	Lidia	49	F	1.720000	
127	10000126	Melissa	39	F	1.840000	
128	10000127	Oscar	47	M	1.680000	
129	10000128	Jose	44	M	1.800000	
130	10000129	Hector	20	M	1.690000	
131	10000130	Teresa	42	F	1.780000	
132	10000131	Irene	19	F	1.770000	
133	10000132	Teresa	48	F	1.800000	
134	10000133	Carolina	26	F	1.800000	
135	10000134	Ruben	31	M	1.840000	
